date,AAL,BAC,C,COP,CVX,DAL,EOG,JPM,KO,LUV,MA,O,PEP,PNC,SPG,TGT,UAL,USB,V,WFC,WMT,XOM
2010-01-04,4.496877193450928,12.03823471069336,24.9791202545166,22.623258590698242,40.89093780517578,9.643586158752441,35.02070999145508,28.152372360229492,17.205245971679688,9.55893325805664,23.542095184326172,11.480113983154297,37.23472595214844,33.77963638305664,36.45826721191406,30.650005340576172,12.800000190734863,13.839397430419922,19.564674377441406,17.835859298706055,12.909187316894531,37.37728500366211
2010-01-05,5.005956172943115,12.429533958435059,25.9341983795166,22.644771575927734,41.18056106567383,10.399944305419922,34.59157943725586,28.697689056396484,16.997119903564453,10.063386917114258,23.472434997558594,11.673653602600098,37.68465805053711,34.120521545410156,36.20880126953125,30.763626098632812,13.90999984741211,14.19021987915039,19.340473175048828,18.325504302978516,12.780647277832031,37.523223876953125
2010-01-06,4.79855489730835,12.575313568115234,26.742347717285156,22.808269500732422,41.18572235107422,10.408536911010742,34.70670700073242,28.85536003112793,16.991086959838867,9.764137268066406,23.43850326538086,11.664857864379883,37.30767822265625,34.120521545410156,35.80229949951172,31.35075569152832,13.270000457763672,14.341439247131348,19.080764770507812,18.351619720458984,12.752080917358398,37.847530364990234
2010-01-07,4.939965724945068,12.989627838134766,26.815814971923828,22.71790885925293,41.03056335449219,10.907049179077148,34.382240295410156,29.426939010620117,16.94886016845703,9.909483909606934,23.285337448120117,11.911170959472656,37.0705680847168,35.97017288208008,36.26887893676758,31.735858917236328,13.550000190734863,14.619683265686035,19.258346557617188,19.01752281188965,12.759221076965332,37.728614807128906
2010-01-08,4.845691680908203,12.874539375305176,26.375003814697266,22.915836334228516,41.10298538208008,10.717961311340332,34.55669403076172,29.35468292236328,16.635162353515625,9.687180519104004,23.293594360351562,12.073923110961914,36.948951721191406,36.06486511230469,35.400394439697266,31.609601974487305,13.329999923706055,14.643876075744629,19.311614990234375,18.841257095336914,12.694952964782715,37.5772590637207
2010-01-11,4.7514166831970215,12.989627838134766,26.668882369995117,23.049219131469727,41.83224868774414,10.993000030517578,34.23920440673828,29.25613784790039,16.972997665405273,9.798334121704102,22.910228729248047,11.98154354095459,36.906394958496094,36.16585922241211,35.43270492553711,31.679035186767578,13.109999656677246,14.710411071777344,19.256120681762695,18.80208396911621,12.904426574707031,37.998870849609375
2010-01-12,4.789126396179199,12.55229377746582,25.860733032226562,22.5587158203125,41.58915328979492,10.778124809265137,33.290252685546875,28.572860717773438,17.1569881439209,9.687180519104004,22.897388458251953,12.025527954101562,37.423194885253906,35.79341125488281,34.73515319824219,31.148746490478516,12.6899995803833,14.70435905456543,19.165122985839844,18.33203125,13.02821159362793,37.8096923828125
2010-01-13,5.166223049163818,12.751777648925781,25.713790893554688,22.700706481933594,41.273658752441406,11.044569969177246,34.15854263305664,29.072181701660156,17.20223617553711,9.858184814453125,23.492610931396484,12.161879539489746,37.72721862792969,36.0716667175293,35.08624267578125,31.148746490478516,13.949999809265137,14.946308135986328,19.342689514160156,18.658458709716797,13.09486198425293,37.6583366394043
2010-01-14,5.269923210144043,12.905233383178711,25.78727149963379,22.795372009277344,41.14436340332031,11.319612503051758,34.242401123046875,29.361257553100586,17.232393264770508,9.798334121704102,23.889741897583008,12.113499641418457,38.183197021484375,36.57757568359375,35.24329376220703,31.628517150878906,13.930000305175781,15.321333885192871,19.409286499023438,18.92612648010254,12.904426574707031,37.663761138916016
2010-01-15,5.1850786209106445,12.475566864013672,25.126049041748047,22.812572479248047,40.978843688964844,10.950023651123047,33.84757995605469,28.697689056396484,16.979021072387695,9.64443588256836,24.08875846862793,12.091513633728027,37.873130798339844,35.8440055847168,34.59654235839844,31.67272186279297,13.25,14.891873359680176,19.12071990966797,18.33203125,12.778261184692383,37.35565185546875
